2023-12-17 19:51:06 [Info] - Успешное подключение к серверу.
2023-12-17 19:51:11 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:13 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:15 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:16 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:17 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:17 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:17 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:17 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:17 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:18 [Info] - Отправлено на сервер: Hello, server!
2023-12-17 19:51:18 [Info] - Соединение закрыто.
